router,router_version,experiment_id,concurrency,examples,decisions,correct_decisions,accuracy,macro_f1,bad_send_rate,over_escalation_rate,missed_policy_violation_rate,send_accuracy,hold_accuracy,escalate_accuracy,schema_failure_rate,min_latency_ms,max_latency_ms,mean_latency_ms,std_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,input_tokens,output_tokens,total_tokens,total_cost_usd,cost_per_1k_decisions_usd,cost_per_correct_decision_usd,decision_throughput_per_s,total_wall_clock_s,brier_score,ece
rules,rules-v1,baseline-v1,8,10,10,10,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.06,0.169,0.092,0.037,0.075,0.155,0.166,,,,0.0,0.0,0.0,7022.4719,0.001,0.0485,0.13
mock_jev,mock-0.1.0,baseline-v1,8,10,10,8,0.8,0.7302,0.0,0.1,0.0,0.75,1.0,1.0,0.0,0.022,0.196,0.071,0.048,0.069,0.15,0.187,,,,,,,4291.1549,0.002,0.0898,0.1338
